article_id,newspaper_name,edition,date,page,headline,byline,article
10_1922-11-27_p1_sn83045774_00271744389_1922112701_0979,The New York herald.,01,1922-11-27,p1,"REPUBLICAN CHIEFS
AIM TO CONCILIATE


NSURGENY GROUP
President and Senate Lead
ers Will Try to Pre-


vent Split.
PARTY LASH DROPPED
Harding Warns Against
Attempt TO Pass PORK


Barrel Bills.
TREASURY RAID BLOCKED
Executive Not to Finish Mes
sage Until After La Fol-


lette Crowd Meets.

TREASURY RAID BLOCKED","Special Dispatch to THE NEw YORK HERALD.
New York Herald Bureau.


Washington, ID. C., Nov % (",new york herald bureau washington id c nov conferences to be held here this week may result in an understanding as to the policy of the administration toward the insurgents in the republi can party president harding and his advisers realize that a conciliatory attitude must be adopted to get through a legislative program for it has been made plain by senators borah and l toilette and others that the use of the party lash will avail nothing not even in the present congress the time for final action on the ship sub sidy and other contemplated legisla ton is so short that any open rupture would make progress impossible president harding will talk with lead ing senators with view to getting an exact line on the situation in the senate he is willing to urge the passage of a farm credit measure to piacate the farmers who are opposed to the ship ping program this may be the first step to quell the riot of insurgent con gressmen who are ready to start trouble over the legislative program pork barrel bills opposed the white house already has warned leaders of the house and senate that any plans to raid the treasury through pork barrel bills will not have the presi dents support or meet his approval this has stopped well organized movement to put through a public buildings bill providing for new struc lures in many states congressman had their measures ready and were going to provide various thriving communities in their respective districts with public buildings it il now agreed that nothing will be done in that direction by this congress where enargements to take care of the busi ness or repairs are needed they will he provided for in special bills the plap to have a general rivers and harbors bill has been abandoned the administration has indicated that it would do nothing to rub the insur gents the wrong way ii will continue to make appeals on the shipping bill and other pressing matters the dyer anti lynching bill is giving senate and house members concern because they promised in the recent campaign to press for lis final passage these pledges are confronting senator s lodge mass mclean comm and johnson cal who are under obliga tons to negro voters in their respective states in al general way the president is interested in the measure but it is not part of his program for the short term problem of transportation act after a canvass of the house and senate administration leaders are doubtful as to the wisdom of bringing up amendments to the esch cummlns transportation act in this congress they have found out enough to con vince them that a prolonged contro versy would follow any effort on the part of senator cummins or any other member to strengthen that law there is a strong sentiment for its repeal in surgent senator s would abolish the railroad labor board mr cummins would give il moye power after his conference with friendly senators this week the president will outline his message to the short ana regular session of congress which con venes december but he will not put the finishing touches on il until he knows the results of the la toilette in surgent conference saturday the pres ident wants to hold the republican members sf the lnsurgent movement in the o r camp lie fears a split now would result in serious split in the majority in congress mr harding is being pressed rec ommend in his message changes in the immigration laws and the nolstead act and a final disposal of the muscle shoals issue all of these controverted questions are full of dangerous possi bilities any consideration of them on the floor of either house would bring trouble and cause delay i m the consid grafton of the shipping bill and the app propriation measures the bonus bill rentroduced threatens to become u monkey wrench in the legislative pro gram the conferences this week may clear the atmosphere or make ii worse
14_1922-08-03_p3_sn83030214_00206532774_1922080301_0051,New-York tribune.,01,1922-08-03,p3,"Police Save Negro From


Lynching at New Haven

Mob OF 500 Seizes Suspect i'm
Attack on Strike Picket i'm


Railroad Yards",,new haven conn aug david boland negro of morrison va was seriously wounded and narrowly escaped lynching at the hands of q crowd of about citizens near the cedar hills yards of the new haven road early tonight after john j daley striking rail road shopman doing picket duty had been shot and wounded and shots had been fired at constable and two men who tried to arrest him the arrival of the police prevented the crowd from
7_1922-10-09_p3_sn85042354_00383342612_1922100901_0020,Evening journal.,01,1922-10-09,p3,FAVOR ANTT-LYNcHING.,,answering questions submitted to them by negro citizens as to their attitude toward the anti lynching bill frank stephens and frank a houck candidate for senator and congressman respectively on the ticket of the new forward party have informed their interrogators ahat il they should become members of the sth congress they will vote in favor of the bill the bill provides for the punish ing of public officials who fail to do their duty to punish the crime bf lynching and to compel the
11_1922-06-04_p2_sn83045462_00280657128_1922060401_0711,Evening star.,01,1922-06-04,p2,"FLEE into BUSHES


TO AVOID WHITES

Negroes Given Bodies Of
Race War Victims in Texas.


Riots at End.","Ry the Associated Press,",kirvin tex june practically normal conditions prevailed in and near kirvin tonight rumors of possible race disturbances and clashes of whites and negroes continued but were discounted many men who were armed this morning had laid aside their weapons and most of the crowds which came here from ad joining counties and nearby cities had gone home relatives hive bodies many of the negroes were reported to have left their homes in order to keep out of the possible trouble zones bodies of allie and leroy gibson negroes killed in a fight with officers yesterday are in the posses bodies had been taken last night from where they fell and one report said they had been burned how ever county ofyicials denied that only one other negro was involved in the shooting according to the story told sheriff mayo denied today that the negroes were taken into custody be cause of alleged connection with the murder of a seventeen year old girl which resulted in the lynching of four negroes he declared there was no formal charge against the gibsons and that deputies sought them to investi gate an alleged attempt by white men to whip leroy the intention of the officers evidently was misunderstood he declared and shots were fired at the deputies who replied negroes hide i m trees the negroes in the community are behaving themselves and i don t anti cipate any trouble from them the sheriff declared their attitude seems to be one of fear toward the whites rather than one of defiance many negroes spent friday night in trees and bushes completely abandon ing their homes through fear of the white people m t gonzaulles gov ernment agent who came here to in vestigate the reported trouble said to day
16_1922-12-03_p3_sn83045774_00271744390_1922120301_0055,The New York herald.,01,1922-12-03,p3,"CITIZEN LETS KHAN
]. WORK IN HIS Home
s.


a. e. Wnppermann Denies
He Is Ku KIux but Ad-


mits Liking Talks.
WOULD STAGE MEETS
Sees Fireside KlOnklave as


Way to Reduce Foes


of order.

OFFERS FAD FOR SOCIETY

Dr. StratOn Will Preach Upon
Invisible Empire at Cal


vary Tonight.",,on friday night a new york news paper telephoned a edward wupper mann west seventy fifth street and accused him of being a ku klux klansnan yesterday mr wupper mann dealer in bitters issued q statement in which he said that he is not citizen of the invisible empire but that he can imagine many less desirable affiliations mr wuppermann has heard the rev oscar haywood d d the local klokard for the klan lecture three klansnen in full regalia were pres ent to let folks see what they d look like il they joined the order mr wup per nann frankly says that he was impressed and now he offers to stage an unofficial klonklave in any private home il the owner of such homo re quests t mr wuppermann has had just such n meeting in his own apartment a rather distinguished gathering of citi xens listened to the klokard not dr haywood but another and only the severity of the weather prevented an other such session in the homo of mr wuppermann s mother in eighty first street it have been accused says mr wup permann in his statement of having held ku klux klan meetings in my home this is not the exact truth let friend make talk it am not member of the knights of the ku klux klan have never been a member and do not intend to become n member i have frfiend who is a klansman a kleagle think he calls himself and l arranged with him to give a talk on the klan last summer at my apartment at west seventy first street t was so entertaining and instruc tive that i repeated ii on several occa slons many of my friends were pres ent including a judge several physi clans ans lawyers two or three clergy men and q quite prominent banker and financier my friend also invited some people tried to arrange a similar meeting st my mothers apartment in eighty first street but t was stormy the discourse was very interesting the speaker disclaimed any purpose to sow discord among people of different religions or races and altogether t seemed to me that t might be very useful organization my friend told me that nobody ever became member of the klan az result of these meetings but l am sure everybody enjoyed the talk and especially the costume which is very impressive and lends an air of mystery to the occasion suggests winter fad you would be surprised ii men toned the names of two or three very prominent persons who attended think il more people would hold these meetings there would be less violent criticism of the klan a good deal of this ku klux talk is very childish should be glad to arrange for meetings o private homes if any one is interested iii rhould become quite a fad this win ter among fashionable people the remainder of mr wuppernanu s statement calls attention to a magazine which in its current issue carries an article written by one of the imperial wizards genii or staff officers mr wuppermann says that he procured this paper for the publication in question and that he is willing to procure similar literature fer any other editor who is keen enough to see circulation value therein mr wuppermann specifies that the editor applying must be repu table and that the rates will be very reasonable iklan prevents lynchfng as for the klan being inclined to take liberties with the laws forbidding lynch ing and the like mr wuppermann re peats a story told him by dr haywood ia the bronx lecture delivered by dr haywood and attended by mr wupper mann the great klokard told of crime committed by a negro il happened in north carolina the klan was on the scene the moment tho facts became pub lie a lynching was imminent but tho kansmen stepped between the negro and the mob not only preventing the proposed lynching hut delivering the criminsl into the hands of the sheriff in the next county aside from mr wuppermann s state inent little came to pass yesterday to bring the klan into local prominence the rev dr john roach straton who will preach on the klan at calvary church tonight says that he has not receded from his first intention to rele gate ku klux klanishness to the limbo of undesirable institutions lie says that he cannot believe that there il division of sentiment among the trustees of cal vary church regarding his attitude toward the khan and dr haywood dir haywood s name has not been restored to the church calendar he said
18_1922-07-06_p1_sn83045462_00280657141_1922070601_0478,Evening star.,01,1922-07-06,p1,"SAYS PRESIDENT


IS DRY V|0LAT0R

Senator Hits Chief Execu.
tive and Chairman Lasker


on Ship ""Traffic.""",,president harding and chairman lasker of the shipping board were charged by senator caraway demo crat arkansas in the senate today with f agrant violation of the pro hibition laws in permitting the sale of liquor on shipping board vessels the senator said all christian americans protest against such sale of liquor elmer schlesinger general counsel of the shipping board who gave the opinion that sale of liquor on ameri can vessels beyond the territorial limits of united states was described by senator caraway as wet and an attorney for interests which fought the prohibition act the man responsible for the most | fragrant violation of the eighteenth amendment and the volstead act is the president of the united states said sen ator caraway with a stroke or pen he could close more barrooms than was ever given to any other man within the history of the world the president could instruct the shipping board to close the saloons on all ships operated by the emergency fleet corporation were he to give such an order mr | lasker would obey it says all have permission every ship that sails beneath the american flag owned operated or leased by the shipping board sells | whisky by the express or implied permission of the president of the nf bov would be dry if he willed it senator caraway referred to presi | dent harding s speech july at marion declaring for enforcement of tn eprohibtion laws and also to the recent statement attributed to secre tary weeks suggesting a beer and wine mobilization of the volstead act can his apologists deny that he | the presidend connives at the | breaking down of public morale asked senator caraway adding that apparently secretary weeks express ed the personal sentiment of the ex | ecutive senator caraway referred to prose cutions of a former service man in baltimore for possession of liquor and to seizure of a local excursion boat owned by a negro on which liquor was found he added that the re | publican party posed as solicitous for the negro having recently reported out the dyer anti lynching bill simply to give senator lodge the negro support in his race for re elec | ton the washington negro sena | tor caraway asserted in a small way initiated the methods that are pur sued by american ships question of the future il would like to ask the president senator caraway continued the at | torney general the chairman of the shipping board and the leaders of the republican party in both houses of congress if t is a part of their pro gram when they shall have put through a ship subsidy and have transferred all of the vessels of the government to private ownership to give to the purchasers a guarantee that they shall have with the ship and the subsidy wrung from the tax payers of america a license also to sell intoxicating liquors senator caraway asserted that no one could honestly contend that every american ship that now sells whiskey within and without the three rifle is not violating the ef hreenth ~
19_1922-06-03_p1_sn84026749_00280764863_1922060301_0748,The Washington times.,01,1922-06-03,p1,,BY International News Service.,kirvin tex june negro friends of leroy gibson nineteen years old and his brother allie gibson twenty four shot to death by officers who attempted to take them into custody are in open revolt here against the whites to day this trouble followed the earlier lynching of four negroes reports persist that the negroes have armed themselves promi nent citizens have intimated they may ask governor neff to declare martial law and send state rangers to the scene of the trou bile armed mon ready sheriff mayo has received tele phone calls from dallas and other cities saying that squads of men equipped with riot guns are ready to be sent to kirvin and at q mo ment s notice a score or more of negroes who fled from kirvin following the shoot ing were surrounded early today in q farm house near simsboro about four miles south of here az last re ports they wore stfii holding out tcouftnusd on paxs caiunan n
23_1922-08-05_p1_sn82014086_00295866421_1922080501_0318,Norwich bulletin.,01,1922-08-05,p1,"MOB srORMING JAIL TO

 LYNCH THREE NEGROES",,durham n c aug the durham machine gun company left tonight for raleigh under orders from the state ad jutant general officers of the com pand were informed that they were wanted to guard the state pententiary reported as being stormed by mob in tent upon lynching three negroes held on a charge of assault
4_1922-02-13_p2_sn92073954_00415667784_1922021301_0283,The daily times.,01,1922-02-13,p2,"HOODED MEN


CHASTISE MANY",,texarkana tex feb grand jury investigation is scheduled today into the lynching saturday night of p norman negro which closed four days of activities of hooded men resulting in the flogging of four white men two for bootlegging one for wife beating and one for init macy with another mans wife norman was shot as he was being returned to this city from ashdown ark where he was arrested for hav ing intimidated an officer and drawn riue on a deputy sheriff t is be lieved the mob had mistaken nor man for the negro wanted for the murder of g w landres rural grocer who was shot to death
21_1922-10-21_p1_sn96060881_00414216912_1922102101_0919,Phoenix tribune.,01,1922-10-21,p1,"WHITE SOUTHERNER
ENDORSES THE dyer


BILL",,advancement of colored people fifth avenue new york today made public statement from bolton smith of memphis tennessee president in of the local rotary club and a trustee of the university of tennes see endorsing the dyer antilynch ing bill which is to come to a vote in the senate during the next session of congress the statement of mr smith was said to be especially significant by james weldon johnson secretary of the advancement association in that mr smith declared the bill contained no special attack upon the south mr smith in his statement declares the crime of lynching is next to the assassination of a prominent off ger of the nation one of the greatest which can be committed t is crime against the nation in a very real sense and therefore should be triable by federal courts mr smiths statement in full is as follows september th il am in favor of the dyer bill giving federal courts jurisdiction in connec ton with the crime of lynch ing under certain cases because il l believe that local sentiment in many places is too strong to permit local authorities to enforce the law against mobs a trial before jury in a united states court is not trial be fore an alien tribunal but the jury is selected from the people of the en tire state or district and one is as sured of a more impartial jury one not terrorized by that local sentiment which usually is so blatant after any mob action few officers have the courage to oppose strong local senti ment so there is no special attack on the south in such a measure t is re quired by the progress of the country north as well as south as common negro labor has moved into the north negroes have been lynched by white mobs there too that some southern men who sin cerely oppose lynching should not ia vor the dyer bill is due to misap prehension of its effect and purpose there is no part of the united states in which those favoring the due pro cess of law for the punishment of crime should not be in favor of the punishment of lynchers by federal courts whenever local officials fail to do their duty a the lynching of negroes by white mobs is bad enough but there is some danger that we will before long be faced with an even more dan gerous character of lynching namely the lynching of those of one religious faith by those of another faith this would divide america into hostile camps and produce civil war and we need law that will enable the fed eral courts to repress these cases with the utmost severity the crime of lynching is next to the assassination of a prominent officer of the nation one of the great est which can be committed this is especially so where t is performed by one class or race and suffered by an other which other race or class re cards the lynching as an attack against every one of its members a lynching in georgia tends to disturb labor conditions not only in the ad joining states but in the entire south and is not without its effect in en bittering race relations in the north t cannot be regarded as merely against the peace and dignity of the state within whose limits it is com mitted its evil effect spreads far be yond those limits t is crime against the nation in a very real sense and therefore should be triable by federal courts l do not assume that this law will immediately stop lynching but it will be one step in that direction above all it would impress the off cials of every state with the determin alton of the people at large to stop this crime the effect of few trials in the federal courts will be highly beneficial signed bolton smith
31_1922-01-23_p2_sn84020657_00279526909_1922012301_0152,The Alaska daily empire.,01,1922-01-23,p2,HELD FOR LYNcHINc,,oklahoma city jan five white men and two negroes are charged with murder in connection with the lynching of jack brooks negro packing house worker here on january
15_1922-03-18_p1_sn90060931_0038334816A_1922031801_0007,The northwestern bulletin.,01,1922-03-18,p1,"WHITE CAROLINA
EDITOR FLAYS
MOB LAW THEORY
Greensf Ats.,N. c. News Voices
Scat. Ssian Sa hst an of Bull


lc..- hs1""tosis ,iss 500.
SAVON RACE PA >~aa pay


THEORY ''POl S cK''
mob Rif-Raff Has No Race
Pride but has Votes


to Intimidate.""",CAssociated Negro Press),what is regarded as one of the nm est editorial expressions ever writ ten in a plea for law and order while at the same time upbraiding the south for dealing with facts ar tifcially appeared recently in the greensboro news with reference to the bullock case this newspaper is one of the most influential publica tions of the south and may be re garded as speaking officially when writing under the headline of what lynching means to the south the news says the governor win not humili ate the state he declares by sending witnesses to testify for t in pet ty judicial officers court in canada no danger that isn t what has humiliated the state if the state had sent a few warren county lynchers to the penitentiary it would probably have been under no obli cation to send witnesses to canada in order to secure the extradition of bullock reputation as murderers let ms keep this thing straight canada may have been a little over jealous but she had plenty of rea son we have a reputation of be ing bloodthirsty murderers down here in north carolina and t is our industrious lynchers who have secured that reputation for us we shall never be regarded as a thor eughly civilized people until we stop this lynching business it s no use talking in grandiloquent tom dixonish terms about what a white man will stand and what a white man won t stand a white man has got to stand by the law il he ex poets to hold up his head among th er white men mobs are off scourings all this snorting about the fierce pride of the anglo saxon race is the most disgusting poppycock ever invented if no negro were ever lynched for anything but rape it might have some shadow of excuse but alleged rapists constitute only a small proportion of the victims of mobs in the south these days ne groes are lynched for all manner of crimes ranging down to simple mis demeanors matthew bullock s brother was not lynched for rape but for shooting at white men fur thermore as every southerner knows the mobs are not composed of fiercely proud anglo saxons but usually of the off scourings of crea tion the poorest morally of poor white trash plug uglies and thugs of every imaginable description many of them wanted themselves by the police occasionally under the leadership of some semi respectable white man of the rattle headed type the idea that any thoroughly decent citizen took part in any of the four affairs of the sort that disgraced the state last year is absurd everlasting disgrace this sort of riff raff has no race pride nor any other sort of pride it has merely a congenital tendency toward disorder easily inflamed into crazy blood lust but it also has votes therefore elected officers more interested in holding their jobs than in doing their duty fear it with a chastity fear and repudiating their oaths let the mob work it s will that is what lynching means in the south today there is not one redeeming element not one word that can be said in its defense t is our everlasting disgrace the one foul shame that blots our civ ilization and as long as we continue to palliate and condone it il will
7_1922-06-24_p2_sn90060931_0038334816A_1922062401_0064,The northwestern bulletin.,01,1922-06-24,p2,THE NEGRO NEWSPAPER,,have you noticed the new effectiveness of the negro newspaper fifteen years ago nobody not even the negroes cared snap what the ne gro newspaper said about it but during the great war the enemy of the negro began to get worried about the colored mems papers and now they are more than ever anxious about the virtues of the negro editor t was the negro newspaper more than any other single power perhaps that created nation wide demand for the passage of an ant lynching law rather than mockery in the shape of an anti lynching or lynching resolution or com mission the negro press was the indispensable ally of the n a a c p in getting this bill thru the lower house of congress what is the secret of this power simply this that these papers great number of them at least have learned to pull together t used to be that when negro paper said we wanted thing somebody could pay or induce another one to say we don t want it and it ended there now they can say the same thing at the same time and say it well thanks mostly to the associated negro press of chicago and it s editors w p
17_1922-05-20_p6_sn85038485_00340583097_1922052001_0323,The Birmingham age-herald.,01,1922-05-20,p6,RACE RELATIONS IN THE SOUTH,,from the houston post stories of the lynching of negroes in the south naturally tend to create the impression that the relations between the races in this section are extremely bad upon these reports the agitators of the question in the north feed both they and their public overlooking the hundreds of instances in which the races cooperate and the tens of thousands of in stances where whites and blacks entertain re spect and regard for each other while the country has been regaled with nu merous lynching stories recently the account of how white people in winchester va paid tribute to aged negro slave and his wife who were killed there few days ago comes in refreshing contrast these worthy negroes it seems were burned to death in their home and negro relative was suspected of the crime scores of white people interested themselves in the case demanding that the perpetrator of the crime be brought to justice not only this but the funeral of the aged negro was held at the home of white woman who was the daughter of his mothers master in pre war days while the body of the woman was kept at the home of the white family where she worked until the funeral among the white persons present at the fu neral or the olo negroes were several officlals of the railroad company by whom the man had been employed for more than years where else except in the south could this have happened do any such incidents occur in new york other northeastern cities where the agitators of the race question and the bait cts of the south make headquarters the incident is of the sort to counteract propaganda by racial agitators against the south it brings to light the real feeling that responsible white people of the south enter tain toward worthy members of the negro races it is another assurance to the negroes them selves that those who live worthily es teemed by their white neighbors and that their lives and interests will be protected the old time negro has the friendship of all true southerners there will always be place in the south for the negro of his type
6_1922-01-13_p9_sn83016589_00393341026_1922011301_0012,The Mankato free press.,01,1922-01-13,p9,hildren in the neighborhood were,,children in the neighborhood were present senator watson democrat georgia questioned the officer regarding the sentence of the first man hanged a negro at is sur tile for murder and rape the only thing was concerned in was the mandate from the high command said colonel ham ii was not present at the trial the second soldier white man was put to death month later he said there were nen at camp rection the cause of each hanging was publicly stated from the scaffold as a warning that there must be law and order no other executions the man hanged was convicted of rape of nine year old girl said colonel ham there were no other nangings no lynchings at is sur til lie while was there h asked about the testimony of for mer soldiers that men in the amerf can army were tried by french court martial colonel ham speaking with great emphasis declared that is not possible the hearing was adjurned until next tuesday senator willis after presenting his resolution stated that he had received today thirty six letters all from pu pills of sixth grade school all urging him to vote against the seating of mr newberty the letters were identical in phraseology the senator add ed and were written in the childish hand of school children of that age
